Area,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990-01-01,71208.92113925863,72505.44524632771,38733.853115210586,806538.3618602417,77082.37461337497,100046.18086683775,21335.94963434022,262637.6159705297,144803.7875765306,17515.17405647928,288282.9822079756,114392.47601065926,56565.981398818476,52591.100489568016,69210.85853253683,89118.29729450884,23214.437692932574,117486.67450559814,166778.61922602257,204156.89404276415,103126.9645579317,37823.59550730689,106979.64547590773,13414.064863722795,33933.153176433174,31284.76230514403,24710.74049005009,225694.07132924,28720.547213606398,527764.0187579268,146671.22901215314,10998.44985152415,234926.0367064089,56956.16323083372,56806.663212538486,254577.94459263067,21984.61844900233,66326.1988493236,12378.468504932962,95632.45047057053,383596.58300905133,32315.87613200029,11689.794987436379,150684.77090335186,128103.38245035875,27828.116204303864,103101.68707915382,11626.765419049987
1991-01-01,75617.0924478794,75303.74975053954,41629.87956839541,823833.6909914366,81361.27209393113,101350.57955517537,23282.394658187597,273978.8066877992,152128.09217687073,18340.150039588283,298050.8736913305,118289.82746196954,58403.43590052098,54727.22742659852,72516.00784589996,89929.17014674252,23337.217871649063,120186.57211709295,168057.3894922426,209035.01561059747,106484.00783913181,39877.899724425886,112760.09558582006,14055.289985210225,35823.246103999365,33108.52862932383,25745.20644375254,233651.8044151966,32710.111948729536,532198.506936431,153717.13598090925,11172.376159020663,241704.8253106991,58756.33467314379,59693.89506092883,264834.50440959306,22059.71361911063,69220.214585601,13314.850695674173,102870.41830673207,398407.25798129104,34644.76195392306,11748.87481476709,157048.05850894414,135937.0813687451,29169.68929219601,107769.42577548252,11875.681609052475
1992-01-01,80804.87266828874,84875.05980089575,45080.67734075879,841886.0687750641,89047.98756794092,105629.32686056462,24525.4214308426,291383.6448607641,164793.76482142854,20071.82132488784,316403.64039524767,128687.92398695074,62360.56501389675,57688.60701039825,78436.34264290056,85104.1957731165,24285.520064987813,124462.88507135794,175070.23673307474,224195.8875834474,114930.30866262368,42952.03667640919,119088.0150592516,15131.089478132264,38439.601455036965,36406.65754115729,27376.439691349668,242979.345750006,35239.895487131034,556134.4701547665,167338.45262791569,12323.921216895946,258930.7168036189,61295.4927502281,63661.70481153414,280077.1513911668,23000.43284465647,73137.2643756803,14429.591398937517,113494.10034908015,421514.5833583203,36817.49246540608,12554.963984279362,165256.3045431425,145194.99102088076,30491.208970702617,116201.80167510842,12060.53848545138
1993-01-01,84089.37296884692,91668.59582762863,47632.224852071005,861791.4430536953,97572.12254887242,107547.97148560024,25169.95383147853,311578.74349359155,176733.59620323128,22472.812747426764,330706.25535231153,136317.52860198607,63888.58532359559,59767.95980956749,82571.06723540595,89763.43747371092,25156.95987002437,130689.41330766301,181440.03923660086,239326.09949442753,118371.65437599744,46199.88676409187,122825.26818606768,16262.603634058736,39585.32569372665,40432.87921031833,28447.29389467985,253102.87097115876,39815.74808454697,575182.2234311601,176442.7852426342,12470.13399187928,268188.7941385243,64589.40251029518,69704.30447475665,292381.494300506,23914.76728070481,77524.60444720884,15611.21654439666,121531.99525827345,449224.74785084225,39949.905944359925,13044.625604020359,174297.1205499118,153866.58799035844,31966.13723100856,123455.4141225544,12620.599912956975
1994-01-01,89593.37211010925,103036.32292947812,51487.585102680125,898197.5582084889,106597.07723491787,112976.30752780155,27449.371573926866,334879.3631224655,193553.5518197279,24763.87222882027,359524.3248735444,147902.26906898653,70717.30405592387,64179.10755661053,88669.45721427123,98427.41726784283,26495.56328188465,138806.80697492618,194178.59864245413,265879.82756068266,128628.45029045644,50359.242855949895,134870.62714455367,17283.701457849143,43760.83167687048,45617.38436443742,30347.800189522135,264878.3786230956,45008.12069921738,594249.2384805296,190391.7696455285,13669.461002363494,291238.94807444746,67248.76907996942,75713.7637376324,307844.1767689443,24714.42936239858,83534.54778417043,16798.65772830762,132028.62408063555,481835.3619052954,44045.10481417083,13707.521293731077,184035.38281335423,162834.0407149895,34684.37687321753,133137.526142947,12875.92203431982
1995-01-01,95282.32948809695,112821.14997795467,54688.034806822136,950562.175535223,114962.09230954027,123060.9274023382,29679.539332273453,355129.73470644205,209409.83733418369,27008.234956452885,376551.49344194797,155196.5177873642,73716.90065332741,66184.45121178201,92988.30705165943,105690.62825488283,28102.68594638505,144803.2243851069,205365.48586918195,271304.5440246083,135610.49815512288,53659.792434238,144676.52651792712,17746.639657722375,45377.31881609287,49733.481561202025,33140.33843238121,277402.490168141,45505.87153626524,623499.3108432794,203182.36451398587,14183.594812435613,307367.75430407014,69818.47193795773,81900.97605691341,324852.2971616345,25928.129679284048,88813.60709065465,17500.459701492542,139312.33107599206,513960.0813533185,48341.96120408607,13909.794600863348,193576.15656894573,167438.16093387292,36245.534793881256,139179.46027741913,13368.263616015916
1996-01-01,99585.09448976672,122700.41723713829,58056.718412808914,1005421.0909013769,123502.54728086245,128952.69452523526,31215.92470588235,379655.5714191221,226492.33127976191,28129.929895750854,396237.0906952124,163395.71149456876,79443.95302780553,70578.36395268857,97745.21310352148,111244.07731561945,29203.71470349309,151001.63953405735,220234.98051833565,285794.0663668612,146405.22387488032,56076.16167014613,153143.70835333655,18354.43598140714,49296.31937266439,54954.34086131804,35931.83701096522,292904.17106580426,48082.083026929315,663624.7942480507,214050.0117509344,15759.443609478212,321398.4624454096,75195.33869257514,93702.97559857716,337319.59087964235,26845.508514120556,92383.53786347382,18823.608449279032,145514.56106282788,558285.8168248811,53791.884952546556,14691.851298241094,205550.1966238989,179824.15132571434,37323.405548353636,147544.97786605757,14415.175826908731
1997-01-01,104218.0,132708.0,60417.0,1081444.0,135868.0,140108.0,33672.0,402340.0,242153.0,29489.0,421596.00000000006,172698.99999999994,83772.0,75172.0,104831.0,117982.0,30720.0,161164.0,237226.0,302803.0,157214.0,58433.0,163526.00000000006,19178.0,50605.0,60052.00000000001,38400.0,308150.0,52564.00000000001,711272.0000000001,232370.0,15769.0,343460.0,79915.0,100790.0,355650.0,29142.0,98196.0,19159.0,155195.0,614436.0,57097.0,15542.000000000002,218652.0,193968.0,38673.0,155353.0,14719.0
1998-01-01,109414.0,143768.0,62275.0,1151119.0,150555.0,147911.0,37298.0,434494.0,263950.0,31142.0,440034.0,186520.0,85629.0,79118.0,109619.0,120493.0,32394.0,170417.0,249090.0,313403.0,167034.0,61112.0,170692.0,20381.0,52399.0,64707.0,40652.0,321334.0,50566.0,741272.0,247372.0,16761.0,364985.0,81672.0,105526.0,373744.0,30783.0,104039.0,20328.0,166282.0,648156.0,61717.0,16143.0,234071.0,209988.0,39881.0,163831.0,14946.0
1999-01-01,115015.0,156145.0,66715.0,1248006.0,164835.0,154708.0,41341.0,464773.0,287725.0,34302.0,463400.0,195099.0,88697.0,82643.0,115418.0,126357.0,34613.0,180996.0,264740.0,337639.0,175778.0,63993.0,178605.0,20874.0,54223.0,71428.0,42027.0,337918.0,53060.0,790079.0,265463.0,16958.0,378814.0,84642.0,107742.0,390617.0,32383.0,110707.0,21194.0,174940.0,683578.0,65851.0,17218.0,251056.0,230752.0,41854.0,173620.0,15771.0
