date,AL_Price,AR_Price,AZ_Price,CA_Price,CO_Price,CT_Price,DE_Price,FL_Price,GA_Price,IA_Price,ID_Price,IL_Price,IN_Price,KS_Price,KY_Price,LA_Price,MA_Price,MD_Price,ME_Price,MI_Price,MN_Price,MO_Price,MS_Price,MT_Price,NC_Price,ND_Price,NE_Price,NH_Price,NJ_Price,NM_Price,NV_Price,NY_Price,OH_Price,OK_Price,OR_Price,PA_Price,RI_Price,SC_Price,SD_Price,TN_Price,TX_Price,UT_Price,VA_Price,VT_Price,WA_Price,WI_Price,WV_Price,WY_Price
1990-01-01,5.96,7.06,7.83,9.68,6.81,9.42,7.36,7.68,6.55,6.88,4.77,7.97,6.3,7.75,5.32,7.06,8.79,5.9,9.09,7.63,6.24,6.34,6.35,5.8,7.32,5.6,5.68,10.09,9.44,8.43,5.77,10.71,6.95,5.61,4.62,8.33,8.72,6.85,6.39,5.68,6.26,7.02,6.35,9.31,4.4,6.44,5.51,5.63
1990-02-01,7.0,7.72,7.85,9.9,6.47,9.96,7.87,7.84,7.07,7.2,4.79,8.64,6.69,7.26,5.66,7.19,9.54,6.41,9.27,7.71,6.44,6.73,6.8,5.82,7.67,5.68,5.93,10.25,9.82,8.55,6.35,11.12,7.65,6.34,4.61,8.55,9.58,7.1,6.55,5.68,6.4,6.96,6.02,9.53,4.39,6.38,5.81,5.7
1990-03-01,6.18,7.85,8.18,9.97,6.75,9.7,7.89,7.79,7.05,7.26,4.78,8.88,6.75,7.59,5.64,7.41,9.03,6.41,9.15,7.73,6.55,6.98,6.89,5.85,7.67,5.76,6.05,10.17,9.79,8.77,5.94,11.19,7.64,6.35,4.71,8.58,9.22,7.21,6.6,5.69,6.84,7.08,6.83,9.47,4.42,6.57,5.78,5.83
1990-04-01,6.93,7.93,8.97,9.68,7.06,9.65,8.17,7.9,7.31,7.49,4.85,9.05,6.85,7.47,5.69,7.48,9.16,6.58,9.1,7.87,6.64,7.12,7.08,5.21,7.76,6.08,6.07,10.29,10.03,8.92,6.11,11.02,7.83,6.56,4.71,8.86,9.49,7.38,6.88,5.71,7.05,7.24,6.97,8.56,4.31,6.73,5.87,5.98
1990-05-01,6.52,8.43,9.37,9.97,7.27,10.04,8.58,7.83,7.57,7.97,4.9,9.55,7.35,8.55,5.85,7.5,9.4,6.95,9.01,7.86,6.86,8.07,7.26,4.73,7.94,6.55,6.22,10.31,10.27,9.3,5.45,11.31,8.37,6.82,4.68,9.41,9.22,7.28,7.24,5.73,7.63,7.3,7.79,8.89,4.31,6.68,6.0,6.14
1990-06-01,6.8,8.6,9.84,9.95,7.36,10.55,9.35,7.71,8.12,8.77,5.07,11.34,7.3,8.59,5.93,7.32,9.86,8.3,8.95,7.9,7.33,8.55,7.02,4.93,7.84,6.99,7.06,10.4,11.05,9.1,5.63,11.64,8.61,7.16,4.64,9.66,10.24,7.28,7.52,5.71,7.2,7.24,8.03,8.53,4.22,6.75,6.09,6.18
1990-07-01,6.43,8.33,9.77,10.43,7.24,9.95,9.03,7.7,8.14,8.38,5.0,12.02,6.77,8.21,5.72,7.46,9.97,8.32,9.19,8.05,7.24,8.09,6.84,4.86,7.98,7.04,6.61,10.53,11.07,9.05,5.19,11.8,8.42,6.79,4.77,10.06,10.54,7.12,7.25,5.67,7.52,7.18,7.97,8.86,4.3,6.75,6.07,6.33
1990-08-01,6.94,8.44,9.63,10.45,7.33,9.96,9.01,7.7,8.07,8.79,5.01,11.76,6.89,8.14,5.75,7.48,9.92,8.27,9.41,8.02,7.27,8.12,6.87,4.84,8.04,7.03,6.71,10.54,11.08,9.2,5.46,11.89,8.55,6.99,4.75,10.05,10.32,7.14,7.44,5.67,7.41,7.11,7.98,8.89,4.24,6.74,6.03,6.3
1990-09-01,6.58,8.39,9.51,10.0,7.07,10.13,9.05,7.69,7.72,8.33,5.05,11.72,6.8,7.29,5.79,7.45,10.27,8.38,9.39,8.08,7.27,7.32,6.79,5.17,8.06,6.93,6.56,10.53,11.01,9.06,5.72,11.98,8.83,6.89,4.94,10.03,10.26,7.08,7.24,5.67,7.67,7.18,7.77,9.28,4.32,6.77,5.68,6.37
1990-10-01,6.66,8.12,9.6,9.69,7.17,10.67,8.53,7.76,7.03,8.03,5.06,10.57,7.37,7.54,5.84,7.5,10.76,7.91,9.43,7.74,6.76,7.06,7.15,5.16,8.45,6.73,5.91,10.5,10.02,9.24,5.81,11.71,8.49,6.48,4.9,9.72,10.04,7.2,7.23,5.74,7.79,7.24,7.54,8.76,4.56,6.79,6.32,6.15
1990-11-01,6.67,7.9,8.88,9.82,7.12,10.49,8.3,7.89,7.09,7.54,4.73,8.63,7.06,7.93,5.73,7.42,10.07,7.08,9.71,7.63,6.62,7.05,7.03,5.69,7.89,6.29,5.92,10.43,10.07,8.93,5.92,11.62,8.09,6.5,4.76,9.34,9.91,7.22,6.96,5.7,7.34,7.04,7.15,9.21,4.52,6.59,5.98,6.01
1990-12-01,6.63,7.7,8.43,10.08,6.9,10.07,7.99,7.96,6.83,7.15,4.75,8.38,6.78,7.57,5.57,7.57,9.79,6.63,9.86,7.76,6.61,6.75,6.86,6.24,7.7,5.9,5.71,10.26,10.11,8.94,5.69,11.48,7.68,6.06,4.79,8.96,10.89,7.16,6.64,5.66,6.76,7.12,6.93,11.13,4.58,6.53,5.92,5.69
1991-01-01,6.41,7.32,7.68,10.42,6.88,9.88,7.84,8.18,6.95,6.83,4.73,7.47,6.36,6.95,5.47,7.12,10.31,6.5,10.1,7.99,6.47,6.37,6.68,6.16,7.54,5.49,5.15,9.48,10.1,8.79,5.98,11.48,7.32,5.65,4.56,8.79,10.65,7.18,6.15,5.63,6.32,6.9,6.9,10.76,4.44,6.5,5.64,5.55
1991-02-01,6.43,7.62,8.31,10.54,7.17,10.21,8.02,8.24,6.89,7.25,4.79,7.85,6.42,7.21,5.55,7.47,10.18,6.76,10.26,8.12,6.43,6.2,6.74,6.25,7.57,5.75,5.61,9.48,10.33,9.13,6.57,11.44,7.64,6.67,4.73,8.72,10.66,7.01,6.55,5.63,6.98,7.09,7.06,10.93,4.18,6.42,5.66,5.78
1991-03-01,6.63,7.86,8.63,10.7,6.99,10.31,8.17,8.23,7.09,7.56,4.8,8.69,6.63,7.67,5.64,7.41,9.68,6.88,10.2,8.04,6.48,6.78,6.77,6.29,7.65,5.81,5.84,9.48,10.38,9.3,5.95,11.63,7.75,6.98,4.83,8.89,10.45,7.11,6.62,5.64,7.2,7.2,7.14,9.77,4.48,6.79,5.73,5.9
1991-04-01,6.78,8.21,9.01,10.71,6.79,10.29,8.41,7.97,7.19,7.86,4.81,10.19,7.03,7.85,5.78,7.48,9.99,7.08,10.39,7.9,6.69,7.27,7.13,5.54,7.9,6.19,5.95,9.49,10.53,9.08,6.29,11.58,8.23,7.26,4.73,9.12,10.51,7.35,6.98,5.69,7.28,7.09,7.4,8.04,4.29,6.78,5.89,6.03
1991-05-01,6.83,8.37,9.73,10.82,7.32,10.62,8.78,7.85,7.55,8.18,4.9,10.47,7.39,8.06,5.94,7.58,10.54,7.77,10.24,7.87,6.98,8.41,7.22,5.09,8.04,6.53,6.11,9.75,10.6,9.36,6.11,11.82,8.34,7.28,4.73,9.89,10.45,7.43,7.27,5.72,8.03,7.31,5.74,8.05,4.32,6.86,6.04,6.17
1991-06-01,6.77,8.61,9.77,10.83,7.53,10.47,9.3,7.8,8.1,8.3,5.11,10.59,6.81,8.81,5.82,7.55,10.57,9.12,10.22,8.28,7.45,8.55,6.91,5.18,7.83,7.05,6.87,10.85,11.59,9.16,5.87,12.41,8.68,7.64,4.8,10.13,11.38,7.26,7.51,5.56,7.78,7.22,7.81,7.84,4.25,6.86,5.9,6.32
1991-07-01,6.89,8.46,9.81,11.1,7.44,10.37,9.15,7.78,8.07,8.31,5.02,11.2,6.55,8.07,5.75,7.56,10.75,9.03,10.14,8.34,7.48,8.35,6.77,5.2,8.3,7.11,6.63,11.03,11.47,9.1,5.31,12.38,8.6,7.44,4.88,10.3,11.68,7.24,7.37,5.65,7.87,7.17,7.78,8.22,4.3,6.73,5.89,6.3
1991-08-01,6.81,8.61,9.68,11.21,6.2,10.54,9.13,7.72,8.1,8.56,5.03,11.04,6.77,8.15,5.82,7.42,10.8,9.11,10.34,8.23,7.54,8.21,6.7,5.37,8.19,7.1,6.66,11.08,11.5,9.24,5.48,12.63,8.77,7.58,4.87,10.38,11.78,7.18,7.42,5.64,8.04,7.11,7.8,8.84,4.28,6.94,5.94,6.24
1991-09-01,6.71,8.55,9.71,10.88,7.11,10.68,9.21,7.72,7.71,8.06,5.11,10.98,6.63,7.35,5.76,7.3,10.65,8.89,10.59,8.28,7.33,7.38,6.82,5.42,8.29,7.02,6.66,11.19,11.5,9.09,5.87,12.57,8.83,7.6,5.06,10.14,11.0,7.15,7.3,5.65,8.1,7.09,7.94,8.53,4.33,6.82,6.05,6.33
