time,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990-01-01,2070093.0,1396499.0,1026320.0,6168009.0,1046805.0,1189718.0,313562.0,6443538.0,2740435.0,637615.0,3406453.0,2432950.0,1052126.0,836534.0,1772802.0,1808037.0,440117.0,2333681.0,1767550.0,2623658.0,1542334.0,1150317.0,2161975.0,387975.0,648868.0,488219.0,396501.0,1959965.0,367429.0,3944893.0,3963429.0,374447.0,4121140.0,1510015.0,1786280.0,4570028.0,263566.0,2074390.0,315938.0,3576065.0,7791226.0,374239.0,207079.0,3294273.0,3331947.0,904654.0,1653927.0,195508.0
1990-02-01,1329137.0,1284555.0,744815.0,5700938.0,925315.0,937942.0,225234.0,4732701.0,1917561.0,546402.0,2738906.0,1803009.0,856184.0,680189.0,1356307.0,1210728.0,384567.0,1613534.0,1465355.0,2086183.0,1320702.0,848421.0,1770124.0,328732.0,540287.0,386653.0,335921.0,1528445.0,310690.0,3494570.0,2656363.0,327356.0,3296914.0,1144239.0,1683212.0,3555442.0,213481.0,1364600.0,276491.0,2435568.0,5239001.0,373918.0,172194.0,2208629.0,3374314.0,709683.0,1407536.0,178349.0
1990-03-01,1405674.0,1095413.0,716128.0,5387511.0,896254.0,943443.0,223605.0,4463381.0,1976128.0,550229.0,2698446.0,1820545.0,846927.0,641001.0,1306764.0,1226492.0,380849.0,1605259.0,1432844.0,2125536.0,1245384.0,783219.0,1648384.0,281902.0,510280.0,389088.0,325437.0,1602592.0,294207.0,3311676.0,2591238.0,285911.0,3181001.0,1112297.0,1482360.0,3506386.0,209747.0,1321197.0,253587.0,2213999.0,4811408.0,365230.0,176193.0,2365390.0,3177695.0,682861.0,1379654.0,163982.0
1990-04-01,1289658.0,893953.0,669831.0,4815885.0,799898.0,805221.0,202883.0,4449672.0,1818395.0,401038.0,2367131.0,1655211.0,767868.0,607839.0,1203020.0,1206698.0,334019.0,1456660.0,1280823.0,1940525.0,1168953.0,739407.0,1545774.0,253355.0,472306.0,311582.0,288453.0,1436934.0,265081.0,3063036.0,2376422.0,255686.0,2949686.0,1024844.0,1172496.0,3108978.0,189453.0,1192087.0,234052.0,2045056.0,4690621.0,294012.0,148315.0,2022418.0,2566890.0,607494.0,1236518.0,140714.0
1990-05-01,1403412.0,969608.0,634632.0,4724865.0,747651.0,720223.0,170242.0,5237150.0,2065222.0,380553.0,2179236.0,1437040.0,684825.0,562802.0,1095686.0,1525025.0,298040.0,1214466.0,1153451.0,1844432.0,1064438.0,785125.0,1349662.0,239609.0,428019.0,406644.0,254543.0,1340322.0,257389.0,2774085.0,2119750.0,206408.0,2570950.0,1058593.0,1102789.0,2650707.0,171444.0,1195041.0,197881.0,1762980.0,5273155.0,293233.0,132262.0,1819631.0,2121638.0,526578.0,1206532.0,128256.0
1990-06-01,1858517.0,1322065.0,875283.0,5014901.0,721876.0,731698.0,174668.0,6674711.0,2807872.0,344770.0,2442777.0,1626695.0,757906.0,794030.0,1311609.0,2278942.0,280451.0,1256808.0,1096645.0,1928406.0,1081900.0,1053506.0,1741327.0,210308.0,521375.0,559962.0,246878.0,1573962.0,295987.0,2765582.0,2348664.0,180664.0,2866408.0,1627447.0,972414.0,2595658.0,170091.0,1425393.0,191340.0,2124093.0,8268505.0,316384.0,123230.0,2169326.0,1892914.0,516661.0,1254647.0,119076.0
1990-07-01,2374213.0,1825050.0,1265129.0,6178977.0,761436.0,874359.0,250481.0,7214030.0,3586272.0,386188.0,3233240.0,2164262.0,1038365.0,1206441.0,1752854.0,2601578.0,281460.0,1854051.0,1206504.0,2189814.0,1298814.0,1397565.0,2302749.0,224776.0,740477.0,648507.0,253110.0,2275926.0,325480.0,3256958.0,3292853.0,189992.0,3393678.0,2124049.0,990046.0,3026055.0,188185.0,1949167.0,236934.0,2843204.0,10024906.0,376110.0,130692.0,2866206.0,1771366.0,614084.0,1396715.0,107586.0
1990-08-01,2332537.0,1691958.0,1149891.0,6502117.0,733880.0,923993.0,265514.0,7577974.0,3456882.0,367987.0,2958333.0,2043834.0,985810.0,1027755.0,1678582.0,2480999.0,296538.0,1878695.0,1295616.0,2205742.0,1212342.0,1381912.0,2208662.0,227514.0,664984.0,616372.0,271864.0,2291837.0,287826.0,3536969.0,3364041.0,192091.0,3261153.0,1872592.0,930108.0,3166701.0,209828.0,1930594.0,216299.0,2661618.0,8849997.0,359371.0,131946.0,2576499.0,1676426.0,602506.0,1424675.0,112871.0
1990-09-01,2271883.0,1629621.0,1260242.0,5950318.0,733318.0,824510.0,244352.0,7369606.0,3117603.0,367861.0,3319636.0,2005789.0,986999.0,1166414.0,1470055.0,2569598.0,281861.0,1688834.0,1207277.0,2211303.0,1274246.0,1417617.0,2080572.0,232573.0,712139.0,497031.0,256564.0,1749196.0,287726.0,3354476.0,3237716.0,203389.0,3013262.0,1944817.0,913014.0,2984684.0,196911.0,1900002.0,240767.0,2813427.0,9758762.0,334762.0,117260.0,2036915.0,1611875.0,572190.0,1273055.0,105011.0
1990-10-01,1532111.0,1136923.0,810205.0,5312389.0,729053.0,692798.0,173144.0,6796163.0,2231882.0,410371.0,2317634.0,1538695.0,773858.0,700439.0,1180153.0,1833528.0,279787.0,1221439.0,1074704.0,1922214.0,1100794.0,1067082.0,1543627.0,257009.0,483036.0,361556.0,238127.0,1399786.0,256290.0,2918460.0,2273404.0,190457.0,2688083.0,1279552.0,1102392.0,2582369.0,164036.0,1337723.0,198412.0,1880716.0,7099878.0,306013.0,136774.0,1906845.0,1824942.0,513366.0,1261324.0,122681.0
