Alabama, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,64.0,0.1
199110,64.6,0.7
199210,61.9,-2.0
199310,62.8,-1.1
199410,64.0,0.1
199510,63.6,-0.3
199610,62.7,-1.2
199710,63.1,-0.8
199810,66.8,2.9
199910,63.6,-0.3
200010,64.6,0.7
200110,60.6,-3.3
200210,67.8,3.9
200310,63.5,-0.4
200410,68.5,4.6
200510,63.8,-0.1
200610,61.9,-2.0
200710,66.5,2.6
200810,62.2,-1.7
200910,62.8,-1.1
201010,64.3,0.4
201110,60.6,-3.3
201210,62.2,-1.7
201310,64.9,1.0
