Alabama, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,56.4,2.9
199111,50.4,-3.1
199211,52.4,-1.1
199311,51.7,-1.8
199411,58.0,4.5
199511,49.7,-3.8
199611,52.7,-0.8
199711,50.0,-3.5
199811,57.9,4.4
199911,56.2,2.7
200011,52.8,-0.7
200111,58.8,5.3
200211,51.0,-2.5
200311,58.2,4.7
200411,57.8,4.3
200511,55.8,2.3
200611,52.8,-0.7
200711,53.6,0.1
200811,51.0,-2.5
200911,53.4,-0.1
201011,55.2,1.7
201111,55.3,1.8
201211,51.2,-2.3
201311,51.6,-1.9
