Alabama, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,80.9,1.6
199108,78.8,-0.5
199208,75.8,-3.5
199308,80.1,0.8
199408,77.2,-2.1
199508,81.9,2.6
199608,77.9,-1.4
199708,77.7,-1.6
199808,79.9,0.6
199908,81.8,2.5
200008,81.0,1.7
200108,78.5,-0.8
200208,79.7,0.4
200308,79.4,0.1
200408,76.3,-3.0
200508,80.5,1.2
200608,82.3,3.0
200708,84.4,5.1
200808,78.4,-0.9
200908,78.0,-1.3
201008,83.0,3.7
201108,81.8,2.5
201208,78.1,-1.2
201308,77.9,-1.4
