Idaho, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,33.1,1.5
199111,29.7,-1.9
199211,28.0,-3.6
199311,26.6,-5.0
199411,25.2,-6.4
199511,36.6,5.0
199611,33.3,1.7
199711,33.8,2.2
199811,34.3,2.7
199911,38.8,7.2
200011,25.7,-5.9
200111,36.2,4.6
200211,32.8,1.2
200311,28.2,-3.4
200411,32.7,1.1
200511,32.0,0.4
200611,33.1,1.5
200711,33.5,1.9
200811,37.1,5.5
200911,33.0,1.4
201011,30.5,-1.1
201111,30.5,-1.1
201211,36.0,4.4
201311,33.8,2.2
