Idaho, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,24.9,-1.5
199102,34.4,8.0
199202,34.4,8.0
199302,22.5,-3.9
199402,25.2,-1.2
199502,33.3,6.9
199602,27.0,0.6
199702,26.8,0.4
199802,29.4,3.0
199902,27.0,0.6
200002,32.0,5.6
200102,25.1,-1.3
200202,23.9,-2.5
200302,27.1,0.7
200402,26.3,-0.1
200502,28.5,2.1
200602,24.4,-2.0
200702,30.8,4.4
200802,27.6,1.2
200902,27.6,1.2
201002,28.9,2.5
201102,24.3,-2.1
201202,28.0,1.6
201302,27.5,1.1
