Idaho, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,36.1,3.5
199103,33.2,0.6
199203,41.0,8.4
199303,35.0,2.4
199403,37.4,4.8
199503,33.8,1.2
199603,34.8,2.2
199703,34.6,2.0
199803,34.0,1.4
199903,33.8,1.2
200003,34.5,1.9
200103,36.6,4.0
200203,30.1,-2.5
200303,36.3,3.7
200403,39.3,6.7
200503,35.9,3.3
200603,32.4,-0.2
200703,38.9,6.3
200803,30.3,-2.3
200903,31.4,-1.2
201003,35.2,2.6
201103,33.4,0.8
201203,36.4,3.8
201303,35.1,2.5
