Idaho, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,46.1,5.1
199104,39.4,-1.6
199204,45.7,4.7
199304,39.6,-1.4
199404,43.9,2.9
199504,39.8,-1.2
199604,41.4,0.4
199704,38.5,-2.5
199804,41.3,0.3
199904,38.7,-2.3
200004,45.3,4.3
200104,40.1,-0.9
200204,41.5,0.5
200304,40.8,-0.2
200404,44.6,3.6
200504,41.7,0.7
200604,42.8,1.8
200704,43.0,2.0
200804,36.3,-4.7
200904,40.7,-0.3
201004,40.0,-1.0
201104,36.4,-4.6
201204,44.4,3.4
201304,40.1,-0.9
