Idaho, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,57.2,0.5
199106,54.7,-2.0
199206,60.4,3.7
199306,53.6,-3.1
199406,58.4,1.7
199506,54.4,-2.3
199606,58.3,1.6
199706,57.2,0.5
199806,53.6,-3.1
199906,55.6,-1.1
200006,58.6,1.9
200106,57.4,0.7
200206,58.8,2.1
200306,59.1,2.4
200406,58.4,1.7
200506,54.3,-2.4
200606,60.6,3.9
200706,59.6,2.9
200806,56.3,-0.4
200906,56.3,-0.4
201006,55.5,-1.2
201106,54.0,-2.7
201206,56.9,0.2
201306,59.3,2.6
