Illinois, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,35.5,6.3
199102,34.2,5.0
199202,37.2,8.0
199302,27.0,-2.2
199402,27.1,-2.1
199502,29.8,0.6
199602,30.4,1.2
199702,33.6,4.4
199802,40.0,10.8
199902,37.4,8.2
200002,37.4,8.2
200102,30.9,1.7
200202,34.6,5.4
200302,26.4,-2.8
200402,30.0,0.8
200502,36.1,6.9
200602,30.9,1.7
200702,21.7,-7.5
200802,26.0,-3.2
200902,32.5,3.3
201002,25.7,-3.5
201102,30.2,1.0
201202,35.8,6.6
201302,29.9,0.7
