Illinois, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,59.0,-3.1
199105,68.6,6.5
199205,61.2,-0.9
199305,63.2,1.1
199405,60.6,-1.5
199505,60.1,-2.0
199605,61.6,-0.5
199705,57.6,-4.5
199805,67.4,5.3
199905,64.1,2.0
200005,65.1,3.0
200105,64.8,2.7
200205,59.1,-3.0
200305,61.1,-1.0
200405,65.7,3.6
200505,60.9,-1.2
200605,62.3,0.2
200705,67.6,5.5
200805,59.0,-3.1
200905,62.8,0.7
201005,64.3,2.2
201105,62.1,0.0
201205,68.1,6.0
201305,63.9,1.8
