Illinois, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,72.4,-1.0
199108,74.7,1.3
199208,68.4,-5.0
199308,74.9,1.5
199408,70.6,-2.8
199508,78.8,5.4
199608,73.5,0.1
199708,71.0,-2.4
199808,74.8,1.4
199908,71.7,-1.7
200008,74.6,1.2
200108,74.6,1.2
200208,75.0,1.6
200308,75.3,1.9
200408,68.6,-4.8
200508,75.6,2.2
200608,74.7,1.3
200708,78.2,4.8
200808,71.8,-1.6
200908,70.9,-2.5
201008,76.8,3.4
201108,74.8,1.4
201208,73.6,0.2
201308,72.8,-0.6
