Indiana, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,36.6,7.2
199102,34.2,4.8
199202,37.0,7.6
199302,26.4,-3.0
199402,27.9,-1.5
199502,29.3,-0.1
199602,30.4,1.0
199702,34.7,5.3
199802,39.4,10.0
199902,36.4,7.0
200002,36.7,7.3
200102,33.5,4.1
200202,35.2,5.8
200302,25.7,-3.7
200402,29.9,0.5
200502,34.8,5.4
200602,31.7,2.3
200702,20.2,-9.2
200802,28.2,-1.2
200902,32.2,2.8
201002,25.7,-3.7
201102,31.2,1.8
201202,35.4,6.0
201302,30.2,0.8
