Indiana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,58.6,-2.7
199105,68.3,7.0
199205,59.6,-1.7
199305,62.2,0.9
199405,58.4,-2.9
199505,60.1,-1.2
199605,60.8,-0.5
199705,56.2,-5.1
199805,66.4,5.1
199905,63.6,2.3
200005,64.2,2.9
200105,64.0,2.7
200205,58.4,-2.9
200305,60.5,-0.8
200405,65.9,4.6
200505,59.2,-2.1
200605,60.1,-1.2
200705,66.2,4.9
200805,58.1,-3.2
200905,62.0,0.7
201005,64.3,3.0
201105,62.1,0.8
201205,67.7,6.4
201305,64.4,3.1
