Iowa, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,50.4,-1.0
199110,49.7,-1.7
199210,50.6,-0.8
199310,49.2,-2.2
199410,53.5,2.1
199510,50.7,-0.7
199610,51.7,0.3
199710,52.1,0.7
199810,53.1,1.7
199910,50.9,-0.5
200010,54.8,3.4
200110,50.2,-1.2
200210,46.2,-5.2
200310,52.4,1.0
200410,51.9,0.5
200510,52.6,1.2
200610,47.9,-3.5
200710,55.9,4.5
200810,50.7,-0.7
200910,44.9,-6.5
201010,53.9,2.5
201110,53.4,2.0
201210,48.8,-2.6
201310,50.5,-0.9
