Iowa, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,41.2,5.5
199111,28.2,-7.5
199211,33.0,-2.7
199311,33.8,-1.9
199411,39.4,3.7
199511,30.3,-5.4
199611,29.0,-6.7
199711,32.9,-2.8
199811,40.7,5.0
199911,44.3,8.6
200011,32.2,-3.5
200111,48.0,12.3
200211,34.7,-1.0
200311,35.9,0.2
200411,40.6,4.9
200511,39.6,3.9
200611,39.3,3.6
200711,37.2,1.5
200811,37.3,1.6
200911,43.4,7.7
201011,38.0,2.3
201111,39.4,3.7
201211,39.2,3.5
201311,33.9,-1.8
