Iowa, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,39.6,5.0
199103,39.2,4.6
199203,39.0,4.4
199303,31.0,-3.6
199403,38.0,3.4
199503,37.0,2.4
199603,29.9,-4.7
199703,37.2,2.6
199803,32.8,-1.8
199903,36.3,1.7
200003,43.1,8.5
200103,30.2,-4.4
200203,31.0,-3.6
200303,35.1,0.5
200403,40.8,6.2
200503,36.0,1.4
200603,36.5,1.9
200703,41.8,7.2
200803,32.6,-2.0
200903,37.1,2.5
201003,38.4,3.8
201103,35.1,0.5
201203,51.6,17.0
201303,29.0,-5.6
