Iowa, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,56.4,-3.4
199105,64.2,4.4
199205,60.1,0.3
199305,59.2,-0.6
199405,60.6,0.8
199505,56.5,-3.3
199605,56.4,-3.4
199705,54.2,-5.6
199805,65.0,5.2
199905,60.5,0.7
200005,62.8,3.0
200105,60.9,1.1
200205,56.8,-3.0
200305,57.9,-1.9
200405,60.7,0.9
200505,57.8,-2.0
200605,60.6,0.8
200705,64.7,4.9
200805,57.4,-2.4
200905,59.8,0.0
201005,59.9,0.1
201105,59.1,-0.7
201205,65.0,5.2
201305,59.0,-0.8
