Iowa, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,72.3,-1.6
199107,73.6,-0.3
199207,68.3,-5.6
199307,71.9,-2.0
199407,70.3,-3.6
199507,73.9,0.0
199607,70.5,-3.4
199707,73.4,-0.5
199807,73.8,-0.1
199907,76.8,2.9
200007,72.2,-1.7
200107,75.1,1.2
200207,76.5,2.6
200307,73.1,-0.8
200407,70.5,-3.4
200507,74.7,0.8
200607,75.9,2.0
200707,73.7,-0.2
200807,73.1,-0.8
200907,68.0,-5.9
201007,74.6,0.7
201107,78.0,4.1
201207,79.6,5.7
201307,72.3,-1.6
