Kansas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,36.1,7.5
199101,26.0,-2.6
199201,36.4,7.8
199301,24.8,-3.8
199401,28.8,0.2
199501,31.2,2.6
199601,27.0,-1.6
199701,28.6,0.0
199801,32.6,4.0
199901,31.7,3.1
200001,33.3,4.7
200101,31.0,2.4
200201,33.8,5.2
200301,31.8,3.2
200401,30.4,1.8
200501,29.9,1.3
200601,41.3,12.7
200701,27.0,-1.6
200801,30.0,1.4
200901,31.4,2.8
201001,27.2,-1.4
201101,27.3,-1.3
201201,36.1,7.5
201301,32.3,3.7
