Kansas, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,48.0,6.0
199111,36.3,-5.7
199211,37.8,-4.2
199311,38.3,-3.7
199411,43.8,1.8
199511,42.1,0.1
199611,38.2,-3.8
199711,40.2,-1.8
199811,47.1,5.1
199911,50.4,8.4
200011,36.8,-5.2
200111,49.2,7.2
200211,42.4,0.4
200311,42.2,0.2
200411,44.2,2.2
200511,46.4,4.4
200611,44.6,2.6
200711,44.1,2.1
200811,44.6,2.6
200911,47.6,5.6
201011,43.6,1.6
201111,43.7,1.7
201211,46.5,4.5
201311,41.3,-0.7
