Kansas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,77.0,-0.3
199108,77.0,-0.3
199208,70.9,-6.4
199308,76.9,-0.4
199408,76.9,-0.4
199508,80.2,2.9
199608,74.5,-2.8
199708,75.1,-2.2
199808,77.9,0.6
199908,77.5,0.2
200008,83.0,5.7
200108,79.0,1.7
200208,78.4,1.1
200308,80.2,2.9
200408,72.7,-4.6
200508,77.3,0.0
200608,78.8,1.5
200708,81.5,4.2
200808,75.2,-2.1
200908,74.4,-2.9
201008,79.7,2.4
201108,80.9,3.6
201208,76.5,-0.8
201308,76.5,-0.8
