Kentucky, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,44.6,8.1
199102,39.5,3.0
199202,42.2,5.7
199302,34.3,-2.2
199402,37.8,1.3
199502,35.0,-1.5
199602,36.4,-0.1
199702,41.9,5.4
199802,42.4,5.9
199902,41.4,4.9
200002,43.1,6.6
200102,41.3,4.8
200202,38.8,2.3
200302,33.6,-2.9
200402,36.9,0.4
200502,40.9,4.4
200602,36.2,-0.3
200702,29.8,-6.7
200802,37.5,1.0
200902,38.9,2.4
201002,30.6,-5.9
201102,39.1,2.6
201202,41.2,4.7
201302,36.8,0.3
