Kentucky, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,75.4,-0.9
199107,77.4,1.1
199207,75.9,-0.4
199307,79.3,3.0
199407,75.6,-0.7
199507,76.8,0.5
199607,73.8,-2.5
199707,76.3,0.0
199807,76.0,-0.3
199907,79.5,3.2
200007,74.5,-1.8
200107,75.7,-0.6
200207,78.3,2.0
200307,75.2,-1.1
200407,74.3,-2.0
200507,77.4,1.1
200607,76.7,0.4
200707,74.6,-1.7
200807,75.2,-1.1
200907,71.8,-4.5
201007,78.4,2.1
201107,79.5,3.2
201207,80.5,4.2
201307,74.0,-2.3
