Louisiana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,73.6,0.2
199105,75.5,2.1
199205,71.5,-1.9
199305,71.1,-2.3
199405,72.0,-1.4
199505,75.0,1.6
199605,76.6,3.2
199705,72.2,-1.2
199805,76.8,3.4
199905,73.6,0.2
200005,76.6,3.2
200105,74.3,0.9
200205,73.9,0.5
200305,76.4,3.0
200405,73.9,0.5
200505,72.6,-0.8
200605,74.2,0.8
200705,73.9,0.5
200805,73.8,0.4
200905,74.3,0.9
201005,77.3,3.9
201105,73.7,0.3
201205,76.3,2.9
201305,71.7,-1.7
