Louisiana, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,78.7,1.5
199109,75.8,-1.4
199209,76.4,-0.8
199309,77.9,0.7
199409,75.4,-1.8
199509,77.3,0.1
199609,75.7,-1.5
199709,78.3,1.1
199809,80.6,3.4
199909,75.8,-1.4
200009,77.7,0.5
200109,75.4,-1.8
200209,78.6,1.4
200309,76.0,-1.2
200409,77.8,0.6
200509,81.3,4.1
200609,75.9,-1.3
200709,78.6,1.4
200809,75.4,-1.8
200909,77.4,0.2
201009,79.8,2.6
201109,76.0,-1.2
201209,77.4,0.2
201309,79.9,2.7
