Maine, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,24.8,6.1
199112,17.8,-0.9
199212,22.5,3.8
199312,22.1,3.4
199412,24.0,5.3
199512,17.0,-1.7
199612,28.2,9.5
199712,20.8,2.1
199812,26.2,7.5
199912,25.2,6.5
200012,17.5,-1.2
200112,28.7,10.0
200212,21.1,2.4
200312,23.0,4.3
200412,19.1,0.4
200512,21.3,2.6
200612,27.8,9.1
200712,18.0,-0.7
200812,20.2,1.5
200912,21.9,3.2
201012,23.4,4.7
201112,26.0,7.3
201212,24.4,5.7
201312,17.0,-1.7
