Maine, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,27.2,1.3
199103,29.2,3.3
199203,23.0,-2.9
199303,24.6,-1.3
199403,27.1,1.2
199503,28.5,2.6
199603,25.4,-0.5
199703,22.8,-3.1
199803,29.6,3.7
199903,31.0,5.1
200003,32.6,6.7
200103,24.2,-1.7
200203,26.9,1.0
200303,24.2,-1.7
200403,28.7,2.8
200503,25.0,-0.9
200603,29.0,3.1
200703,25.8,-0.1
200803,23.1,-2.8
200903,26.2,0.3
201003,34.6,8.7
201103,26.8,0.9
201203,34.3,8.4
201303,30.3,4.4
