Maine, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,49.1,-1.4
199105,53.7,3.2
199205,51.3,0.8
199305,51.6,1.1
199405,48.8,-1.7
199505,50.0,-0.5
199605,48.7,-1.8
199705,46.8,-3.7
199805,56.5,6.0
199905,55.4,4.9
200005,49.5,-1.0
200105,54.4,3.9
200205,48.8,-1.7
200305,49.6,-0.9
200405,51.9,1.4
200505,47.2,-3.3
200605,53.2,2.7
200705,51.2,0.7
200805,50.0,-0.5
200905,51.1,0.6
201005,54.6,4.1
201105,51.9,1.4
201205,53.8,3.3
201305,52.3,1.8
