Maine, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,61.0,1.2
199106,61.6,1.8
199206,60.3,0.5
199306,59.8,0.0
199406,63.2,3.4
199506,62.6,2.8
199606,61.2,1.4
199706,60.7,0.9
199806,59.7,-0.1
199906,64.8,5.0
200006,59.4,-0.4
200106,63.0,3.2
200206,58.3,-1.5
200306,61.2,1.4
200406,57.5,-2.3
200506,63.2,3.4
200606,63.3,3.5
200706,61.1,1.3
200806,61.2,1.4
200906,58.7,-1.1
201006,60.8,1.0
201106,60.2,0.4
201206,60.2,0.4
201306,60.8,1.0
