Maryland, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,41.9,8.1
199102,39.6,5.8
199202,37.5,3.7
199302,31.4,-2.4
199402,32.8,-1.0
199502,31.8,-2.0
199602,34.1,0.3
199702,40.0,6.2
199802,40.5,6.7
199902,37.5,3.7
200002,38.7,4.9
200102,38.1,4.3
200202,39.9,6.1
200302,31.0,-2.8
200402,34.5,0.7
200502,36.6,2.8
200602,36.1,2.3
200702,28.3,-5.5
200802,37.2,3.4
200902,37.2,3.4
201002,30.8,-3.0
201102,37.6,3.8
201202,40.5,6.7
201302,34.5,0.7
