Maryland, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,71.3,0.7
199106,72.4,1.8
199206,68.0,-2.6
199306,71.1,0.5
199406,74.3,3.7
199506,71.2,0.6
199606,72.4,1.8
199706,69.3,-1.3
199806,70.6,0.0
199906,71.3,0.7
200006,72.4,1.8
200106,72.4,1.8
200206,73.0,2.4
200306,69.5,-1.1
200406,70.8,0.2
200506,72.8,2.2
200606,71.6,1.0
200706,72.6,2.0
200806,74.3,3.7
200906,71.0,0.4
201006,76.2,5.6
201106,74.0,3.4
201206,71.7,1.1
201306,72.7,2.1
