Massachusetts, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,36.9,2.7
199103,38.2,4.0
199203,32.1,-2.1
199303,31.8,-2.4
199403,34.0,-0.2
199503,37.5,3.3
199603,31.8,-2.4
199703,33.7,-0.5
199803,37.9,3.7
199903,36.4,2.2
200003,40.6,6.4
200103,32.5,-1.7
200203,37.1,2.9
200303,34.5,0.3
200403,36.6,2.4
200503,31.2,-3.0
200603,35.4,1.2
200703,34.0,-0.2
200803,34.6,0.4
200903,35.3,1.1
201003,41.4,7.2
201103,35.4,1.2
201203,44.1,9.9
201303,34.9,0.7
