Massachusetts, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,53.2,-2.5
199105,61.2,5.5
199205,55.0,-0.7
199305,57.8,2.1
199405,54.7,-1.0
199505,54.4,-1.3
199605,54.8,-0.9
199705,53.0,-2.7
199805,59.7,4.0
199905,57.4,1.7
200005,56.4,0.7
200105,57.8,2.1
200205,54.6,-1.1
200305,54.2,-1.5
200405,58.5,2.8
200505,51.5,-4.2
200605,56.1,0.4
200705,58.4,2.7
200805,54.2,-1.5
200905,57.0,1.3
201005,60.3,4.6
201105,58.5,2.8
201205,60.4,4.7
201305,57.7,2.0
