Massachusetts, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,70.0,2.4
199108,70.0,2.4
199208,66.4,-1.2
199308,69.9,2.3
199408,67.2,-0.4
199508,68.9,1.3
199608,69.0,1.4
199708,67.6,0.0
199808,70.2,2.6
199908,68.5,0.9
200008,67.0,-0.6
200108,71.7,4.1
200208,71.4,3.8
200308,71.5,3.9
200408,69.0,1.4
200508,72.1,4.5
200608,68.3,0.7
200708,69.4,1.8
200808,67.2,-0.4
200908,71.0,3.4
201008,70.1,2.5
201108,69.8,2.2
201208,71.5,3.9
201308,68.0,0.4
