Arizona, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,62.0,1.0
199110,64.1,3.1
199210,63.8,2.8
199310,61.0,0.0
199410,59.6,-1.4
199510,63.1,2.1
199610,60.8,-0.2
199710,60.2,-0.8
199810,60.5,-0.5
199910,64.2,3.2
200010,60.2,-0.8
200110,64.7,3.7
200210,60.0,-1.0
200310,67.3,6.3
200410,60.0,-1.0
200510,62.8,1.8
200610,60.2,-0.8
200710,62.4,1.4
200810,62.9,1.9
200910,59.4,-1.6
201010,62.7,1.7
201110,62.8,1.8
201210,63.8,2.8
201310,58.8,-2.2
