Arizona, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,50.3,1.1
199111,49.0,-0.2
199211,45.7,-3.5
199311,47.2,-2.0
199411,45.5,-3.7
199511,55.0,5.8
199611,51.0,1.8
199711,51.0,1.8
199811,50.6,1.4
199911,55.1,5.9
200011,43.8,-5.4
200111,52.9,3.7
200211,51.3,2.1
200311,48.8,-0.4
200411,47.3,-1.9
200511,52.6,3.4
200611,52.8,3.6
200711,55.3,6.1
200811,53.3,4.1
200911,52.9,3.7
201011,48.3,-0.9
201111,49.4,0.2
201211,53.8,4.6
201311,51.3,2.1
