Arizona, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,52.0,2.5
199103,45.8,-3.7
199203,50.2,0.7
199303,51.8,2.3
199403,52.9,3.4
199503,51.3,1.8
199603,51.9,2.4
199703,55.0,5.5
199803,49.0,-0.5
199903,53.0,3.5
200003,50.5,1.0
200103,51.8,2.3
200203,49.8,0.3
200303,50.6,1.1
200403,58.1,8.6
200503,49.9,0.4
200603,48.3,-1.2
200703,54.5,5.0
200803,51.8,2.3
200903,52.5,3.0
201003,49.2,-0.3
201103,53.3,3.8
201203,51.6,2.1
201303,54.8,5.3
