Arizona, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,59.8,3.1
199104,55.5,-1.2
199204,61.2,4.5
199304,58.6,1.9
199404,58.2,1.5
199504,54.9,-1.8
199604,59.9,3.2
199704,56.2,-0.5
199804,52.7,-4.0
199904,53.2,-3.5
200004,61.9,5.2
200104,57.5,0.8
200204,62.0,5.3
200304,55.6,-1.1
200404,57.9,1.2
200504,57.2,0.5
200604,59.0,2.3
200704,59.3,2.6
200804,58.0,1.3
200904,57.0,0.3
201004,56.1,-0.6
201104,58.9,2.2
201204,60.6,3.9
201304,59.4,2.7
