Arizona, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,76.0,-1.8
199108,78.5,0.7
199208,77.5,-0.3
199308,77.5,-0.3
199408,81.3,3.5
199508,81.4,3.6
199608,80.2,2.4
199708,79.1,1.3
199808,80.4,2.6
199908,77.8,0.0
200008,79.4,1.6
200108,79.1,1.3
200208,79.8,2.0
200308,80.0,2.2
200408,77.8,0.0
200508,77.5,-0.3
200608,77.9,0.1
200708,80.5,2.7
200808,79.3,1.5
200908,79.7,1.9
201008,79.0,1.2
201108,82.2,4.4
201208,80.5,2.7
201308,78.5,0.7
