Michigan, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,27.6,9.5
199101,17.4,-0.7
199201,22.9,4.8
199301,21.4,3.3
199401,9.5,-8.6
199501,22.9,4.8
199601,16.7,-1.4
199701,17.6,-0.5
199801,24.8,6.7
199901,17.7,-0.4
200001,19.3,1.2
200101,23.4,5.3
200201,27.5,9.4
200301,16.7,-1.4
200401,14.3,-3.8
200501,18.0,-0.1
200601,29.9,11.8
200701,24.1,6.0
200801,22.8,4.7
200901,12.6,-5.5
201001,21.3,3.2
201101,16.9,-1.2
201201,25.1,7.0
201301,23.0,4.9
