Michigan, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,46.3,-1.2
199110,48.0,0.5
199210,45.3,-2.2
199310,44.7,-2.8
199410,49.8,2.3
199510,49.6,2.1
199610,47.7,0.2
199710,47.3,-0.2
199810,50.1,2.6
199910,46.4,-1.1
200010,50.8,3.3
200110,47.8,0.3
200210,44.5,-3.0
200310,46.6,-0.9
200410,49.0,1.5
200510,50.6,3.1
200610,44.7,-2.8
200710,54.4,6.9
200810,46.8,-0.7
200910,44.6,-2.9
201010,49.9,2.4
201110,49.7,2.2
201210,47.5,0.0
201310,48.8,1.3
