Michigan, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,23.7,4.6
199102,25.2,6.1
199202,25.1,6.0
199302,17.9,-1.2
199402,14.2,-4.9
199502,19.1,0.0
199602,19.0,-0.1
199702,23.5,4.4
199802,32.0,12.9
199902,27.3,8.2
200002,26.5,7.4
200102,22.1,3.0
200202,27.4,8.3
200302,16.3,-2.8
200402,22.6,3.5
200502,25.2,6.1
200602,22.5,3.4
200702,15.2,-3.9
200802,18.2,-0.9
200902,22.9,3.8
201002,23.1,4.0
201102,21.3,2.2
201202,28.4,9.3
201302,20.9,1.8
