Michigan, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,45.0,3.1
199104,46.7,4.8
199204,40.2,-1.7
199304,40.4,-1.5
199404,43.3,1.4
199504,38.9,-3.0
199604,38.4,-3.5
199704,40.4,-1.5
199804,45.7,3.8
199904,45.8,3.9
200004,42.4,0.5
200104,46.1,4.2
200204,43.4,1.5
200304,41.4,-0.5
200404,44.2,2.3
200504,46.4,4.5
200604,47.5,5.6
200704,41.8,-0.1
200804,45.7,3.8
200904,43.1,1.2
201004,49.0,7.1
201104,42.0,0.1
201204,43.9,2.0
201304,39.5,-2.4
