Michigan, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,51.5,-2.1
199105,60.0,6.4
199205,54.5,0.9
199305,53.9,0.3
199405,52.8,-0.8
199505,53.3,-0.3
199605,51.2,-2.4
199705,47.4,-6.2
199805,60.4,6.8
199905,57.7,4.1
200005,56.6,3.0
200105,57.2,3.6
200205,49.7,-3.9
200305,52.8,-0.8
200405,53.8,0.2
200505,52.0,-1.6
200605,56.1,2.5
200705,57.8,4.2
200805,51.2,-2.4
200905,53.7,0.1
201005,58.3,4.7
201105,55.0,1.4
201205,59.0,5.4
201305,56.5,2.9
