Minnesota, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,43.6,-1.4
199110,42.1,-2.9
199210,43.8,-1.2
199310,42.1,-2.9
199410,48.6,3.6
199510,44.1,-0.9
199610,45.2,0.2
199710,46.3,1.3
199810,47.7,2.7
199910,44.2,-0.8
200010,48.2,3.2
200110,44.5,-0.5
200210,37.7,-7.3
200310,47.0,2.0
200410,46.8,1.8
200510,47.8,2.8
200610,42.2,-2.8
200710,49.4,4.4
200810,46.0,1.0
200910,39.9,-5.1
201010,49.1,4.1
201110,49.9,4.9
201210,43.2,-1.8
201310,44.9,-0.1
