Minnesota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,16.6,4.5
199102,20.4,8.3
199202,22.5,10.4
199302,11.6,-0.5
199402,6.3,-5.8
199502,12.8,0.7
199602,12.0,-0.1
199702,15.0,2.9
199802,28.8,16.7
199902,23.2,11.1
200002,22.8,10.7
200102,6.7,-5.4
200202,23.8,11.7
200302,9.9,-2.2
200402,16.7,4.6
200502,20.3,8.2
200602,12.7,0.6
200702,7.7,-4.4
200802,9.4,-2.7
200902,15.0,2.9
201002,12.8,0.7
201102,13.2,1.1
201202,22.4,10.3
201302,13.0,0.9
