Minnesota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,42.5,1.2
199104,45.8,4.5
199204,39.0,-2.3
199304,40.4,-0.9
199404,41.9,0.6
199504,37.1,-4.2
199604,36.5,-4.8
199704,38.8,-2.5
199804,46.8,5.5
199904,44.7,3.4
200004,42.2,0.9
200104,43.4,2.1
200204,40.4,-0.9
200304,43.4,2.1
200404,43.7,2.4
200504,47.7,6.4
200604,48.8,7.5
200704,41.2,-0.1
200804,39.6,-1.7
200904,41.8,0.5
201004,50.0,8.7
201104,41.6,0.3
201204,45.5,4.2
201304,34.0,-7.3
