Mississippi, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,50.0,4.9
199101,44.6,-0.5
199201,44.3,-0.8
199301,47.7,2.6
199401,41.2,-3.9
199501,46.2,1.1
199601,44.4,-0.7
199701,45.0,-0.1
199801,48.7,3.6
199901,49.8,4.7
200001,47.3,2.2
200101,40.9,-4.2
200201,47.5,2.4
200301,40.5,-4.6
200401,45.3,0.2
200501,50.1,5.0
200601,51.5,6.4
200701,46.2,1.1
200801,43.5,-1.6
200901,45.1,0.0
201001,40.6,-4.5
201101,42.2,-2.9
201201,50.8,5.7
201301,49.1,4.0
