Mississippi, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,62.5,-1.9
199110,65.2,0.8
199210,63.3,-1.1
199310,63.0,-1.4
199410,64.7,0.3
199510,63.8,-0.6
199610,64.0,-0.4
199710,63.7,-0.7
199810,67.6,3.2
199910,63.9,-0.5
200010,65.2,0.8
200110,61.1,-3.3
200210,67.0,2.6
200310,64.5,0.1
200410,70.2,5.8
200510,64.1,-0.3
200610,63.4,-1.0
200710,66.5,2.1
200810,62.6,-1.8
200910,62.6,-1.8
201010,65.0,0.6
201110,61.3,-3.1
201210,62.1,-2.3
201310,65.4,1.0
