Mississippi, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,56.9,3.0
199111,50.4,-3.5
199211,51.8,-2.1
199311,51.6,-2.3
199411,58.3,4.4
199511,50.5,-3.4
199611,53.8,-0.1
199711,50.4,-3.5
199811,58.0,4.1
199911,56.7,2.8
200011,52.1,-1.8
200111,58.6,4.7
200211,51.6,-2.3
200311,58.6,4.7
200411,58.8,4.9
200511,56.7,2.8
200611,53.5,-0.4
200711,55.1,1.2
200811,52.0,-1.9
200911,54.7,0.8
201011,55.7,1.8
201111,56.1,2.2
201211,52.0,-1.9
201311,51.1,-2.8
