Mississippi, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,54.9,6.6
199102,50.4,2.1
199202,52.1,3.8
199302,47.0,-1.3
199402,49.4,1.1
199502,48.3,0.0
199602,48.2,-0.1
199702,50.9,2.6
199802,49.9,1.6
199902,53.3,5.0
200002,53.2,4.9
200102,52.5,4.2
200202,46.0,-2.3
200302,46.7,-1.6
200402,45.4,-2.9
200502,51.6,3.3
200602,46.0,-2.3
200702,46.0,-2.3
200802,50.1,1.8
200902,50.6,2.3
201002,40.7,-7.6
201102,49.8,1.5
201202,52.2,3.9
201302,49.0,0.7
