Mississippi, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,80.6,0.4
199108,79.2,-1.0
199208,76.2,-4.0
199308,81.4,1.2
199408,78.1,-2.1
199508,82.6,2.4
199608,78.5,-1.7
199708,78.6,-1.6
199808,81.4,1.2
199908,82.5,2.3
200008,83.2,3.0
200108,79.7,-0.5
200208,80.1,-0.1
200308,80.6,0.4
200408,76.8,-3.4
200508,82.0,1.8
200608,83.0,2.8
200708,84.2,4.0
200808,78.5,-1.7
200908,78.7,-1.5
201008,83.8,3.6
201108,83.0,2.8
201208,79.5,-0.7
201308,79.6,-0.6
