Mississippi, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,77.0,1.9
199109,74.4,-0.7
199209,73.6,-1.5
199309,74.3,-0.8
199409,72.8,-2.3
199509,74.0,-1.1
199609,72.9,-2.2
199709,75.6,0.5
199809,78.8,3.7
199909,73.7,-1.4
200009,75.4,0.3
200109,73.0,-2.1
200209,77.6,2.5
200309,73.4,-1.7
200409,74.7,-0.4
200509,77.9,2.8
200609,73.0,-2.1
200709,76.7,1.6
200809,74.1,-1.0
200909,75.8,0.7
201009,77.0,1.9
201109,72.5,-2.6
201209,74.4,-0.7
201309,77.0,1.9
