Missouri, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,39.7,5.9
199102,39.9,6.1
199202,41.1,7.3
199302,30.7,-3.1
199402,32.5,-1.3
199502,36.0,2.2
199602,35.4,1.6
199702,37.4,3.6
199802,41.2,7.4
199902,42.4,8.6
200002,42.2,8.4
200102,34.3,0.5
200202,37.3,3.5
200302,31.2,-2.6
200402,33.1,-0.7
200502,40.1,6.3
200602,34.2,0.4
200702,29.4,-4.4
200802,31.0,-2.8
200902,38.4,4.6
201002,28.4,-5.4
201102,33.2,-0.6
201202,39.9,6.1
201302,34.4,0.6
