Missouri, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,75.0,-1.0
199108,76.3,0.3
199208,69.9,-6.1
199308,77.4,1.4
199408,73.7,-2.3
199508,79.9,3.9
199608,74.8,-1.2
199708,73.8,-2.2
199808,76.8,0.8
199908,75.6,-0.4
200008,79.5,3.5
200108,77.2,1.2
200208,76.9,0.9
200308,78.8,2.8
200408,70.7,-5.3
200508,77.8,1.8
200608,78.4,2.4
200708,81.3,5.3
200808,73.9,-2.1
200908,72.6,-3.4
201008,79.0,3.0
201108,77.8,1.8
201208,76.2,0.2
201308,74.6,-1.4
