Montana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,25.6,8.9
199101,15.6,-1.1
199201,28.0,11.3
199301,12.2,-4.5
199401,20.8,4.1
199501,22.4,5.7
199601,11.3,-5.4
199701,14.3,-2.4
199801,19.0,2.3
199901,22.2,5.5
200001,22.1,5.4
200101,24.6,7.9
200201,22.7,6.0
200301,24.7,8.0
200401,17.0,0.3
200501,18.1,1.4
200601,31.4,14.7
200701,21.8,5.1
200801,18.1,1.4
200901,21.1,4.4
201001,20.6,3.9
201101,19.1,2.4
201201,25.1,8.4
201301,21.7,5.0
