Montana, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,13.2,-7.4
199112,27.0,6.4
199212,15.4,-5.2
199312,26.3,5.7
199412,23.9,3.3
199512,20.8,0.2
199612,15.0,-5.6
199712,25.8,5.2
199812,21.2,0.6
199912,29.5,8.9
200012,15.8,-4.8
200112,22.4,1.8
200212,26.8,6.2
200312,25.1,4.5
200412,27.4,6.8
200512,20.5,-0.1
200612,25.5,4.9
200712,21.6,1.0
200812,14.0,-6.6
200912,12.0,-8.6
201012,19.0,-1.6
201112,26.2,5.6
201212,21.5,0.9
201312,16.4,-4.2
