Montana, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,33.4,4.0
199103,32.1,2.7
199203,38.7,9.3
199303,34.4,5.0
199403,35.9,6.5
199503,29.9,0.5
199603,24.2,-5.2
199703,31.8,2.4
199803,28.9,-0.5
199903,35.2,5.8
200003,35.5,6.1
200103,33.8,4.4
200203,19.8,-9.6
200303,29.8,0.4
200403,37.5,8.1
200503,34.6,5.2
200603,30.6,1.2
200703,38.9,9.5
200803,31.2,1.8
200903,28.3,-1.1
201003,36.2,6.8
201103,28.6,-0.8
201203,39.4,10.0
201303,30.5,1.1
