Montana, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,42.3,1.6
199104,40.6,-0.1
199204,43.8,3.1
199304,41.5,0.8
199404,42.6,1.9
199504,38.0,-2.7
199604,41.7,1.0
199704,36.0,-4.7
199804,43.7,3.0
199904,40.0,-0.7
200004,43.2,2.5
200104,41.1,0.4
200204,37.6,-3.1
200304,44.1,3.4
200404,44.3,3.6
200504,42.7,2.0
200604,44.9,4.2
200704,40.9,0.2
200804,37.6,-3.1
200904,39.8,-0.9
201004,41.6,0.9
201104,37.7,-3.0
201204,44.8,4.1
201304,36.9,-3.8
