Montana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,48.8,-1.4
199105,49.8,-0.4
199205,53.5,3.3
199305,53.7,3.5
199405,53.6,3.4
199505,48.4,-1.8
199605,45.9,-4.3
199705,51.0,0.8
199805,52.7,2.5
199905,48.7,-1.5
200005,51.5,1.3
200105,53.3,3.1
200205,47.5,-2.7
200305,50.1,-0.1
200405,48.1,-2.1
200505,49.0,-1.2
200605,52.9,2.7
200705,52.1,1.9
200805,49.6,-0.6
200905,50.5,0.3
201005,46.3,-3.9
201105,47.1,-3.1
201205,49.5,-0.7
201305,51.9,1.7
