Nebraska, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,50.8,0.0
199110,49.5,-1.3
199210,50.8,0.0
199310,48.9,-1.9
199410,52.2,1.4
199510,49.6,-1.2
199610,50.8,0.0
199710,51.6,0.8
199810,51.7,0.9
199910,51.2,0.4
200010,52.7,1.9
200110,51.0,0.2
200210,44.4,-6.4
200310,54.6,3.8
200410,52.3,1.5
200510,51.9,1.1
200610,48.0,-2.8
200710,53.6,2.8
200810,50.2,-0.6
200910,42.3,-8.5
201010,54.0,3.2
201110,52.7,1.9
201210,48.2,-2.6
201310,48.8,-2.0
